시도,구군,행정구역명,수계,지류,세부단위유역 ,중권역,소권역,총인구(명),총면적,하수처리구역 내 물리적처리 공공하수처리인구,하수처리구역 내 생물학적적처리 공공하수처리인구,하수처리구역 내 고도처리 공공하수처리인구,하수처리구역 내 물리적처리 폐수처리인구,하수처리구역 내 생물학적적처리 폐수처리인구,하수처리구역 내 고도처리 폐수처리인구,미접속인구,하수처리구역 내 면적,하수처리구역 외 미처리인구,하수처리구역 외 오수처리인구,하수처리구역 외 정화조인구,하수처리구역 외 면적,공공하수처리구역 인구보급률,고도처리인구 보급률,하수도설치율
경기도,수원시,세류1동,한강,황구지천,안성천,안성천,황구지천상류,10809,1.0,0,0,10809,0,0,0,0,0.581,0,0,0,0.419,100.0,100.0,100.0
경기도,수원시,세류2동,한강,황구지천,안성천,안성천,황구지천상류,25141,3.6,0,0,25141,0,0,0,0,1.148,0,0,0,2.452,100.0,100.0,100.0
경기도,수원시,세류3동,한강,황구지천,안성천,안성천,황구지천상류,19041,1.3,0,0,19041,0,0,0,0,0.856,0,0,0,0.444,100.0,100.0,100.0
경기도,수원시,평동,한강,황구지천,안성천,안성천,황구지천상류,41820,7.185,0,0,41820,0,0,0,0,4.715,0,0,0,2.47,100.0,100.0,100.0
경기도,수원시,서둔동,한강,황구지천,안성천,안성천,황구지천상류,38639,5.4,0,0,38547,0,0,0,0,2.53,0,92,0,2.87,99.8,99.8,99.8
경기도,수원시,구운동,한강,황구지천,안성천,안성천,황구지천상류,23713,1.9,0,0,23416,0,0,0,0,0.907,0,267,30,0.993,98.7,98.7,98.7
경기도,수원시,금곡동,한강,황구지천,안성천,안성천,황구지천상류,44359,4.1,0,0,44194,0,0,0,0,2.151,0,165,0,1.949,99.6,99.6,99.6
경기도,수원시,호매실동,한강,황구지천,안성천,안성천,황구지천상류,44953,4.7,0,0,44953,0,0,0,0,1.991,0,0,0,2.709,100.0,100.0,100.0
경기도,수원시,권선1동,한강,황구지천,안성천,안성천,황구지천상류,24773,1.0,0,0,24773,0,0,0,0,1.0,0,0,0,0.0,100.0,100.0,100.0
경기도,수원시,권선2동,한강,황구지천,안성천,안성천,황구지천상류,46807,1.8,0,0,46807,0,0,0,0,1.8,0,0,0,0.0,100.0,100.0,100.0
경기도,수원시,곡선동,한강,황구지천,안성천,안성천,황구지천상류,35723,4.4,0,0,35380,0,0,0,0,1.553,0,263,80,2.847,99.0,99.0,99.0
경기도,수원시,입북동,한강,황구지천,안성천,안성천,황구지천상류,19796,6.9,0,0,19417,0,0,0,0,1.998,0,351,28,4.902,98.1,98.1,98.1
경기도,수원시,매교동,한강,황구지천,안성천,안성천,황구지천상류,22297,0.8,0,0,22297,0,0,0,0,0.617,0,0,0,0.183,100.0,100.0,100.0
경기도,수원시,매산동,한강,황구지천,안성천,안성천,황구지천상류,12224,0.7,0,0,12224,0,0,0,0,0.68,0,0,0,0.02,100.0,100.0,100.0
경기도,수원시,고등동,한강,황구지천,안성천,안성천,황구지천상류,22554,1.0,0,0,22554,0,0,0,0,0.849,0,0,0,0.151,100.0,100.0,100.0
경기도,수원시,화서1동,한강,황구지천,안성천,안성천,황구지천상류,22771,0.8,0,0,22771,0,0,0,0,0.794,0,0,0,0.006,100.0,100.0,100.0
경기도,수원시,화서2동,한강,황구지천,안성천,안성천,황구지천상류,24539,2.1,0,0,24539,0,0,0,0,0.655,0,0,0,1.445,100.0,100.0,100.0
경기도,수원시,지동,한강,황구지천,안성천,안성천,황구지천상류,10818,0.8,0,0,10818,0,0,0,0,0.767,0,0,0,0.033,100.0,100.0,100.0
경기도,수원시,우만1동,한강,황구지천,안성천,안성천,황구지천상류,19329,1.2,0,0,19329,0,0,0,0,1.156,0,0,0,0.044,100.0,100.0,100.0
경기도,수원시,우만2동,한강,황구지천,안성천,안성천,황구지천상류,17168,0.936,0,0,17168,0,0,0,0,0.807,0,0,0,0.129,100.0,100.0,89.7
경기도,수원시,인계동,한강,황구지천,안성천,안성천,황구지천상류,46859,2.964,0,0,46859,0,0,0,0,2.964,0,0,0,0.0,100.0,100.0,100.0
경기도,수원시,행궁동,한강,황구지천,안성천,안성천,황구지천상류,10239,1.6,0,0,10239,0,0,0,0,1.16,0,0,0,0.44,100.0,100.0,100.0
