시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도,인구밀도_정규화,하수도_인프라_지수,인프라_등급
전라북도,옥구읍,2988,40.075,44.8,51.5,34.7,74.5601996257018,0.16172863132622345,35.86234572626525,매우 낮음
전라북도,옥산면,4576,16.73,72.4,74.3,67.7,273.52062163777646,0.5932939557437382,57.66865879114875,낮음
전라북도,회현면,3271,38.345,52.3,52.9,38.3,85.30447255183205,0.18503404847453608,39.25700680969491,매우 낮음
전라북도,임피면,2732,21.97,60.8,65.5,53.6,124.3513882567137,0.26973076691363307,48.663946153382724,낮음
전라북도,서수면,2500,24.31,22.2,27.3,5.9,102.8383381324558,0.22306678036699132,16.074613356073396,매우 낮음
전라북도,대야면,4672,37.83,39.1,47.9,38.7,123.49986782976474,0.2678837327870063,33.89357674655741,매우 낮음
전라북도,개정면,2875,16.8,40.0,58.5,42.6,171.13095238095238,0.37120038365058283,38.144240076730114,매우 낮음
전라북도,성산면,2702,27.41,22.0,22.0,4.6,98.57716161984678,0.21382385654592703,14.162764771309185,매우 낮음
전라북도,나포면,2086,31.006,29.6,30.8,25.3,67.27730116751596,0.14593128628633387,23.209186257257265,매우 낮음
전라북도,옥도면,3798,23.56,22.8,22.8,17.9,161.20543293718168,0.3496709258044224,17.329934185160884,매우 낮음
전라북도,옥서면,2836,20.88,57.6,65.2,53.6,135.82375478927204,0.2946154929028035,47.61892309858057,낮음
전라북도,해신동,2229,3.03,100.0,100.0,82.7,735.6435643564357,1.5956854649608387,76.85913709299217,보통
전라북도,월명동,4921,1.14,100.0,100.0,61.0,4316.666666666667,9.363287590379224,74.07265751807584,보통
