재난,발생시간,지점정보
호우경보,2020-08-07 10:30,군산(140)
호우주의보,2020-08-07 11:40,광주(156)
호우주의보,2020-08-07 13:10,대전(133)
호우주의보,2020-08-07 13:40,대구(143)
호우주의보,2020-08-07 14:20,포항(138)
호우주의보,2020-08-07 16:30,순천(174)
호우주의보,2020-08-07 17:20,진주(192)
호우주의보,2020-08-07 17:50,울산(152)
호우주의보,2020-08-07 18:30,거제(294)
호우경보,2020-08-07 19:10,부산(159)
호우경보,2020-08-08 01:00,고창(172)
호우경보,2020-08-08 02:20,진주(192)
호우주의보,2020-08-08 04:20,통영(162)
호우경보,2020-08-08 04:30,거제(294)
호우경보,2020-08-08 06:00,통영(162)
호우주의보,2020-08-08 13:30,원주(114)
호우주의보,2020-08-08 15:00,인천(112)
호우주의보,2020-08-08 19:00,동두천(98)
호우경보,2020-08-08 19:00,인천(112)
호우경보,2020-08-08 20:00,원주(114)
호우주의보,2020-08-08 22:00,철원(95)
호우경보,2020-08-08 22:30,서울(108)
호우경보,2020-08-08 22:30,춘천(101)
호우경보,2020-08-09 00:00,철원(95)
호우경보,2020-08-09 02:00,대전(133)
호우경보,2020-08-09 05:00,충주(127)
호우주의보,2020-08-09 09:00,상주(137)
호우경보,2020-08-09 10:00,전주(146)
호우경보,2020-08-09 10:50,군산(140)
호우주의보,2020-08-09 15:00,인천(112)
호우주의보,2020-08-09 18:00,원주(114)
호우주의보,2020-08-10 00:00,제주(184)
호우주의보,2020-08-09 22:40,춘천(101)
호우주의보,2020-08-10 05:00,철원(95)
호우경보,2020-08-10 05:10,인천(112)
호우주의보,2020-08-10 06:20,파주(99)
호우주의보,2020-08-10 07:10,여수(168)
호우주의보,2020-08-10 07:20,진주(192)
호우주의보,2020-08-10 07:40,순천(174)
호우주의보,2020-08-10 08:35,안동(136)
호우주의보,2020-08-10 11:10,동해(106)
호우주의보,2020-08-10 12:50,철원(95)
호우주의보,2020-08-10 14:00,전주(146)
호우주의보,2020-08-10 15:00,서울(108)
호우주의보,2020-08-10 15:40,서울(108)
호우주의보,2020-08-10 16:00,속초(90)
호우주의보,2020-08-10 16:10,서울(108)
호우주의보,2020-08-10 16:40,동두천(98)
호우주의보,2020-08-10 17:00,동해(106)
호우주의보,2020-08-10 22:00,서산(129)
호우주의보,2020-08-10 21:00,광주(156)
호우주의보,2020-08-10 22:00,전주(146)
호우주의보,2020-08-10 22:30,인천(112)
호우주의보,2020-08-10 23:00,춘천(101)
호우경보,2020-08-10 23:40,홍성(177)
호우주의보,2020-08-11 01:00,충주(127)
호우주의보,2020-08-11 02:30,광주(156)
호우주의보,2020-08-11 09:50,제주(184)
호우주의보,2020-08-11 11:00,철원(95)
호우경보,2020-08-11 11:50,제주(184)
호우주의보,2020-08-11 13:00,동해(106)
호우주의보,2020-08-11 13:20,통영(162)
호우주의보,2020-08-11 13:40,울릉도(115)
호우주의보,2020-08-11 15:30,울릉도(115)
호우주의보,2020-08-11 16:00,제주(184)
호우주의보,2020-08-11 18:00,통영(162)
호우주의보,2020-08-12 13:00,세종(예)(239)
호우주의보,2020-08-12 14:30,세종(예)(239)
호우주의보,2020-08-12 15:20,천안(232)
호우주의보,2020-08-12 16:10,천안(232)
호우주의보,2020-08-14 10:00,철원(95)
호우주의보,2020-08-14 12:10,철원(95)
호우주의보,2020-08-15 03:00,철원(95)
호우주의보,2020-08-15 05:10,부산(159)
호우주의보,2020-08-15 12:30,철원(95)
호우주의보,2020-08-15 14:00,이천(203)
호우주의보,2020-08-15 16:00,철원(95)
호우주의보,2020-08-21 07:00,파주(99)
호우주의보,2020-08-21 10:30,파주(99)
호우주의보,2020-08-22 12:40,서울(108)
호우주의보,2020-08-22 13:10,제주(184)
호우주의보,2020-08-22 13:30,세종(예)(239)
호우주의보,2020-08-22 13:50,대전(133)
호우주의보,2020-08-22 14:30,춘천(101)
호우주의보,2020-08-22 15:00,서울(108)
호우주의보,2020-08-22 15:50,천안(232)
호우주의보,2020-08-22 18:00,대전(133)
호우주의보,2020-08-22 18:40,철원(95)
호우주의보,2020-08-22 19:00,수원(119)
호우주의보,2020-08-22 19:10,원주(114)
호우주의보,2020-08-22 20:00,서울(108)
호우주의보,2020-08-22 21:00,철원(95)
호우주의보,2020-08-22 21:40,춘천(101)
호우주의보,2020-08-22 22:20,원주(114)
호우주의보,2020-08-22 23:10,양평(202)
호우주의보,2020-08-23 00:00,상주(137)
호우주의보,2020-08-23 01:30,봉화(271)
호우주의보,2020-08-23 02:00,안동(136)
호우주의보,2020-08-23 02:50,울릉도(115)
호우주의보,2020-08-23 03:30,울진(130)
호우주의보,2020-08-23 04:30,제주(184)
호우주의보,2020-08-23 05:00,울릉도(115)
호우주의보,2020-08-23 06:10,제주(184)
호우주의보,2020-08-23 12:00,제주(184)
호우주의보,2020-08-23 13:20,제주(184)
호우주의보,2020-08-23 17:00,제주(184)
호우주의보,2020-08-25 13:30,제주(184)
호우주의보,2020-08-27 02:30,창원(155)
호우주의보,2020-08-27 07:00,철원(95)
호우주의보,2020-08-27 23:40,양평(202)
호우주의보,2020-08-28 00:00,춘천(101)
호우주의보,2020-08-28 01:00,철원(95)
호우주의보,2020-08-28 02:30,양평(202)
호우주의보,2020-08-28 03:30,파주(99)
호우주의보,2020-08-28 03:30,철원(95)
호우주의보,2020-08-28 05:00,남원(247)
호우주의보,2020-08-28 06:30,파주(99)
호우경보,2020-08-28 08:45,거제(294)
호우주의보,2020-08-28 11:00,서산(129)
호우주의보,2020-08-28 13:50,서울(108)
호우주의보,2020-08-28 15:30,서울(108)
호우주의보,2020-08-28 17:30,정읍(245)
호우주의보,2020-08-28 17:40,청주(131)
호우주의보,2020-08-28 18:00,원주(114)
호우주의보,2020-08-28 18:10,보은(226)
호우주의보,2020-08-28 18:50,충주(127)
호우주의보,2020-08-28 19:20,세종(예)(239)
호우주의보,2020-08-28 20:00,군산(140)
호우주의보,2020-08-28 20:30,제주(184)
호우주의보,2020-08-28 20:50,이천(203)
호우주의보,2020-08-28 21:50,천안(232)
호우주의보,2020-08-28 22:00,군산(140)
호우주의보,2020-08-28 22:30,부산(159)
호우주의보,2020-08-28 23:30,충주(127)
호우주의보,2020-08-29 00:00,양평(202)
호우주의보,2020-08-29 01:30,이천(203)
호우주의보,2020-08-29 02:00,원주(114)
호우주의보,2020-08-29 04:00,통영(162)
호우주의보,2020-08-29 07:00,제주(184)
호우주의보,2020-08-29 14:20,정읍(245)
호우주의보,2020-08-29 16:00,속초(90)
호우주의보,2020-08-29 18:10,임실(244)
호우주의보,2020-08-29 18:20,서울(108)
호우주의보,2020-08-29 18:35,서울(108)
호우주의보,2020-08-29 19:10,광주(156)
호우주의보,2020-08-29 20:30,서울(108)
호우주의보,2020-08-29 21:30,원주(114)
호우주의보,2020-08-30 17:00,창원(155)
호우주의보,2020-08-30 17:35,광주(156)
호우주의보,2020-08-30 18:20,창원(155)
호우주의보,2020-08-30 19:45,상주(137)
